,Filename,Sorted
0,2000-01-07-18-21-07_L5_rgb.jpg,bad
1,2000-04-12-18-20-29_L5_rgb.jpg,bad
2,2000-04-28-18-21-24_L5_rgb.jpg,good
3,2000-08-02-18-23-18_L5_rgb.jpg,bad
4,2000-08-18-18-23-46_L5_rgb.jpg,good
5,2000-09-03-18-24-08_L5_rgb.jpg,bad
6,2000-09-19-18-24-18_L5_rgb.jpg,good
7,2000-10-21-18-24-43_L5_rgb.jpg,good
8,2000-11-22-18-25-12_L5_rgb.jpg,bad
9,2000-12-08-18-25-20_L5_rgb.jpg,good
10,2000-12-24-18-25-44_L5_rgb.jpg,good
11,2001-02-26-18-26-12_L5_rgb.jpg,bad
12,2001-03-14-18-26-11_L5_rgb.jpg,good
13,2001-03-30-18-26-12_L5_rgb.jpg,bad
14,2001-05-01-18-26-16_L5_rgb.jpg,good
15,2001-06-18-18-26-22_L5_rgb.jpg,good
16,2001-08-21-18-26-20_L5_rgb.jpg,bad
17,2001-09-06-18-26-14_L5_rgb.jpg,good
18,2001-10-24-18-25-53_L5_rgb.jpg,bad
19,2001-12-11-18-25-30_L5_rgb.jpg,good
20,2002-01-12-18-25-08_L5_rgb.jpg,bad
21,2002-06-05-18-22-35_L5_rgb.jpg,good
22,2002-07-23-18-21-26_L5_rgb.jpg,bad
23,2002-08-08-18-20-57_L5_rgb.jpg,good
24,2002-09-09-18-20-07_L5_rgb.jpg,good
25,2002-10-11-18-19-06_L5_rgb.jpg,good
26,2002-10-18-18-25-04_L5_rgb.jpg,bad
27,2002-10-27-18-18-42_L5_rgb.jpg,good
28,2002-11-19-18-24-03_L5_rgb.jpg,bad
29,2002-11-28-18-17-41_L5_rgb.jpg,good
30,2003-01-06-18-24-26_L5_rgb.jpg,bad
31,2003-01-15-18-18-27_L5_rgb.jpg,bad
32,2003-02-07-18-25-07_L5_rgb.jpg,good
33,2003-02-16-18-19-08_L5_rgb.jpg,bad
34,2003-03-04-18-19-37_L5_rgb.jpg,good
35,2003-03-20-18-19-55_L5_rgb.jpg,bad
36,2003-03-27-18-26-20_L5_rgb.jpg,good
37,2003-04-05-18-20-24_L5_rgb.jpg,good
38,2003-05-07-18-21-09_L5_rgb.jpg,bad
39,2003-06-15-18-28-03_L5_rgb.jpg,bad
40,2003-06-24-18-22-06_L5_rgb.jpg,good
41,2003-07-17-18-28-41_L5_rgb.jpg,bad
42,2003-08-11-18-22-58_L5_rgb.jpg,good
43,2003-09-12-18-23-32_L5_rgb.jpg,good
44,2003-09-19-18-29-50_L5_rgb.jpg,bad
45,2003-10-14-18-23-57_L5_rgb.jpg,good
46,2003-11-22-18-30-41_L5_rgb.jpg,bad
