Filename,Sorted,index
2018-12-01-15-40-54_S2_ID02022-04-22.jpg,good,0
2018-12-01-15-40-54_S2_ID12022-04-22.jpg,bad,1
2018-12-01-15-40-54_S2_ID22022-04-22.jpg,bad,2
2018-12-01-15-40-54_S2_ID32022-04-22.jpg,good,3
2018-12-01-15-40-54_S2_ID42022-04-22.jpg,good,4
2018-12-01-15-41-06_S2_ID02022-04-22.jpg,good,5
2018-12-01-15-41-06_S2_ID12022-04-22.jpg,bad,6
2018-12-01-15-41-06_S2_ID22022-04-22.jpg,good,7
2018-12-01-15-41-06_S2_ID32022-04-22.jpg,good,8
2018-12-01-15-41-06_S2_ID42022-04-22.jpg,good,9
2018-12-03-15-20-26_L8_ID32022-04-22.jpg,bad,10
2018-12-03-15-20-26_L8_ID42022-04-22.jpg,bad,11
2018-12-04-15-50-48_S2_ID02022-04-22.jpg,good,12
2018-12-04-15-50-48_S2_ID12022-04-22.jpg,good,13
2018-12-04-15-50-48_S2_ID22022-04-22.jpg,bad,14
2018-12-04-15-50-48_S2_ID32022-04-22.jpg,bad,15
2018-12-04-15-50-48_S2_ID42022-04-22.jpg,good,16
2018-12-04-15-50-56_S2_ID02022-04-22.jpg,good,17
2018-12-04-15-50-56_S2_ID12022-04-22.jpg,good,18
2018-12-04-15-50-56_S2_ID22022-04-22.jpg,bad,19
2018-12-04-15-50-56_S2_ID32022-04-22.jpg,bad,20
2018-12-04-15-50-56_S2_ID42022-04-22.jpg,good,21
2018-12-06-15-54-55_L8_ID02022-04-21.jpg,bad,22
2018-12-06-15-54-55_L8_ID12022-04-21.jpg,good,23
2018-12-06-15-54-55_L8_ID22022-04-21.jpg,good,24
2018-12-06-15-54-55_L8_ID32022-04-21.jpg,good,25
2018-12-06-15-54-55_L8_ID42022-04-21.jpg,bad,26
2018-12-06-15-54-55_L8_ID52022-04-21.jpg,bad,27
2018-12-09-15-50-50_S2_ID02022-04-22.jpg,good,28
2018-12-09-15-50-50_S2_ID12022-04-22.jpg,good,29
2018-12-09-15-50-50_S2_ID22022-04-22.jpg,good,30
2018-12-09-15-50-50_S2_ID32022-04-22.jpg,good,31
2018-12-09-15-50-50_S2_ID42022-04-22.jpg,good,32
2018-12-09-15-51-04_S2_ID02022-04-22.jpg,good,33
2018-12-09-15-51-04_S2_ID12022-04-22.jpg,good,34
2018-12-09-15-51-04_S2_ID22022-04-22.jpg,good,35
2018-12-09-15-51-04_S2_ID32022-04-22.jpg,good,36
2018-12-09-15-51-04_S2_ID42022-04-22.jpg,good,37
2018-12-10-15-26-35_L8_ID02022-04-22.jpg,good,38
2018-12-10-15-26-35_L8_ID12022-04-22.jpg,good,39
2018-12-10-15-26-35_L8_ID22022-04-22.jpg,good,40
2018-12-10-15-26-35_L8_ID32022-04-22.jpg,good,41
2018-12-10-15-26-35_L8_ID42022-04-22.jpg,good,42
2018-12-11-15-40-52_S2_ID02022-04-22.jpg,bad,43
2018-12-11-15-40-52_S2_ID12022-04-22.jpg,bad,44
2018-12-11-15-40-52_S2_ID22022-04-22.jpg,bad,45
2018-12-11-15-40-52_S2_ID32022-04-22.jpg,bad,46
2018-12-11-15-40-52_S2_ID42022-04-22.jpg,bad,47
2018-12-11-15-41-05_S2_ID02022-04-22.jpg,bad,48
2018-12-11-15-41-05_S2_ID12022-04-22.jpg,bad,49
2018-12-11-15-41-05_S2_ID22022-04-22.jpg,bad,50
2018-12-18-15-22-20_L7_ID02022-04-22.jpg,bad,51
2018-12-18-15-22-20_L7_ID12022-04-22.jpg,bad,52
2018-12-18-15-22-20_L7_ID22022-04-22.jpg,bad,53
2018-12-18-15-22-20_L7_ID32022-04-22.jpg,bad,54
2018-12-18-15-22-20_L7_ID42022-04-22.jpg,bad,55
2018-12-19-15-20-24_L8_ID32022-04-22.jpg,bad,56
2018-12-19-15-20-24_L8_ID42022-04-22.jpg,bad,57
2018-12-22-15-54-53_L8_ID02022-04-21.jpg,bad,58
2018-12-22-15-54-53_L8_ID12022-04-21.jpg,good,59
2018-12-22-15-54-53_L8_ID22022-04-21.jpg,good,60
2018-12-22-15-54-53_L8_ID32022-04-21.jpg,good,61
2018-12-22-15-54-53_L8_ID42022-04-21.jpg,bad,62
2018-12-22-15-54-53_L8_ID52022-04-21.jpg,bad,63
2018-12-24-15-50-49_S2_ID02022-04-22.jpg,good,64
2018-12-24-15-50-49_S2_ID12022-04-22.jpg,good,65
2018-12-24-15-50-49_S2_ID22022-04-22.jpg,good,66
2018-12-24-15-50-49_S2_ID32022-04-22.jpg,good,67
2018-12-24-15-50-49_S2_ID42022-04-22.jpg,good,68
2018-12-24-15-51-03_S2_ID02022-04-22.jpg,good,69
2018-12-24-15-51-03_S2_ID12022-04-22.jpg,bad,70
2018-12-24-15-51-03_S2_ID22022-04-22.jpg,good,71
2018-12-24-15-51-03_S2_ID32022-04-22.jpg,good,72
2018-12-24-15-51-03_S2_ID42022-04-22.jpg,good,73
2018-12-25-16-14-56_S2_ID02022-04-21.jpg,good,74
2018-12-25-16-14-56_S2_ID12022-04-21.jpg,good,75
2018-12-25-16-14-56_S2_ID22022-04-21.jpg,good,76
2018-12-25-16-14-56_S2_ID32022-04-21.jpg,good,77
2018-12-25-16-14-56_S2_ID42022-04-21.jpg,good,78
2018-12-25-16-14-56_S2_ID52022-04-21.jpg,good,79
2018-12-26-15-26-35_L8_ID02022-04-22.jpg,good,80
2018-12-26-15-26-35_L8_ID12022-04-22.jpg,good,81
2018-12-26-15-26-35_L8_ID22022-04-22.jpg,good,82
2018-12-26-15-26-35_L8_ID32022-04-22.jpg,good,83
2018-12-26-15-26-35_L8_ID42022-04-22.jpg,good,84
2018-12-26-15-40-57_S2_ID02022-04-22.jpg,good,85
2018-12-26-15-40-57_S2_ID12022-04-22.jpg,good,86
2018-12-26-15-40-57_S2_ID22022-04-22.jpg,good,87
2018-12-26-15-40-57_S2_ID32022-04-22.jpg,good,88
2018-12-26-15-40-57_S2_ID42022-04-22.jpg,good,89
2018-12-26-15-41-11_S2_ID02022-04-22.jpg,good,90
2018-12-26-15-41-11_S2_ID12022-04-22.jpg,good,91
2018-12-26-15-41-11_S2_ID22022-04-22.jpg,good,92
2018-12-26-15-41-11_S2_ID32022-04-22.jpg,good,93
2018-12-26-15-41-11_S2_ID42022-04-22.jpg,good,94
2018-12-27-15-15-53_L7_ID02022-04-22.jpg,bad,95
